Introduction	引言
What is Econometrics?	什么是计量经济学？
The term "econometrics" is believed to have been crafted by Ragnar Frisch (1895-1973) of Norway, one of the three principal founders of the Econometric Society, first editor of the journal Econometrica, and co-winner of the first Nobel Memorial Prize in Economic Sciences in 1969	“计量经济学”一词被认为是由挪威的 Ragnar Frisch (1895-1973) 创造的，他是计量经济学会的三位主要创始人之一，《计量经济学》杂志的第一任编辑，也是第一届诺贝尔纪念奖的共同获得者1969 年获得经济学博士学位
It is therefore fitting that we turn to Frisch's own words in the introduction to the first issue of Econometrica to describe the discipline	因此，我们在《计量经济学》第一期的导言中用弗里施自己的话来描述这门学科是合适的
A word of explanation regarding the term econometrics may be in order	关于计量经济学一词的解释是可以追溯的
But there are several aspects of the quantitative approach to economics, and no single one of these aspects, taken by itself, should be confounded with econometrics	但是，经济学的定量方法有几个方面，其中任何一个方面，就其本身而言，不应与计量经济学相混淆
And it is this unification that constitutes econometrics	正是这种统一构成了计量经济学
This definition remains valid today, although some terms have evolved somewhat in their usage	这个定义在今天仍然有效，尽管一些术语在使用上有所演变
Today, we would say that econometrics is the unified study of economic models, mathematical statistics, and economic data	今天，我们会说计量经济学是对经济模型、数理统计和经济数据的统一研究
Within the field of econometrics there are sub-divisions and specializations	在计量经济学领域内有其细分和门类
Applied econometrics is a term describing the development of quantitative economic models and the application of econometric methods to these models using economic data	应用计量经济学是指描述定量经济模型的发展并使用经济数据将计量经济学方法应用于这些模型
The Probability Approach to Econometrics	计量经济学的概率方法
The unifying methodology of modern econometrics was articulated by Trygve Haavelmo (1911-1999) of Norway, winner of the 1989 Nobel Memorial Prize in Economic Sciences, in his seminal paper "The probability approach in econometrics" (1944)	现代计量经济学的统一方法论，是由挪威的 Trygve Haavelmo (1911-1999) 在他的开创性论文“计量经济学中的概率方法”（1944 年）中提出的，他是 1989 年诺贝尔经济学奖得主
The appropriate method for a quantitative economic analysis follows from the probabilistic construction of the economic model	定量经济分析的合理方法来自于对经济模型的概率构建
Haavelmo's probability approach was quickly embraced by the economics profession	Haavelmo 的概率方法很快被经济学界所接受
Today no quantitative work in economics shuns its fundamental vision	今天，经济学中的任何量化工作都不会回避其基本愿景
While all economists embrace the probability approach, there has been some evolution in its implementation	虽然所有经济学家都接受概率方法，但它的运用已经发生了一些演变
The structural approach is the closest to Haavelmo's original idea	结构方法最接近 Haavelmo 最初的想法
The structural approach typically leads to likelihood-based analysis, including maximum likelihood and Bayesian estimation	结构方法通常导致基于似然的分析，包括极大似然和贝叶斯估计
A criticism of the structural approach is that it is misleading to treat an economic model as correctly specified	对结构性方法的批评是，将经济模型视为正确设定是一种误导
This theory has led to the concepts of the pseudo-true value (the parameter value defined by the estimation problem), the quasi-likelihood function, quasi-MLE, and quasi-likelihood inference	该理论导致了伪真值（由估计问题定义的参数值）、拟似然函数、拟极大似然估计和拟似然推断的概念
Closely related is the semiparametric approach	密切相关的是半参数方法
The semiparametric approach dominates contemporary econometrics, and is the main focus of this textbook	半参数方法在当代计量经济学中占主导地位，是这本教科书的主要关注点
Another branch of quantitative structural economics is the calibration approach	数量结构经济学的另一个分支是校准方法
Trygve Haavelmo	特里格维·哈维尔莫
The founding ideas of the field of econometrics are largely due to the Norweigen econometrician Trygve Haavelmo (1911-1999)	计量经济学领域的创始思想很大程度上归功于挪威计量经济学家 Trygve Haavelmo (1911-1999)
Econometric Terms	计量经济学术语
In a typical application, an econometrician has a set of repeated measurements on a set of variables	在典型应用中，计量经济学家对一组变量进行重复测量
We call this information the data, dataset, or sample	我们称这些信息为数据、数据集或样本
We use the term observations to refer to distinct repeated measurements on the variables	我们使用术语观测来指代对变量的不同重复测量
An individual observation could also be a measurement at a point in time, such as quarterly GDP or a daily interest rate	个体观测也可以是某个时间点的衡量指标，例如季度 GDP 或每日利率
We use bold in matrix algebraic expressions for compatibility with matrix notation	我们对矩阵代数表达式进行加粗，以紧凑地表示矩阵
Observational Data	观测数据
A common econometric question is to quantify the causal impact of one set of variables on another variable	一个常见的计量经济学问题是量化一组变量对另一变量的因果影响
Another issue of interest is the earnings gap between men and women	另一个有趣的问题是男女之间的收入差距
Ideally, we would use experimental data to answer these questions	理想情况下，我们会使用实验数据来回答这些问题
Knowledge of the joint distribution alone may not be able to distinguish between these explanations	仅对联合分布的了解可能无法区分这些解释
Most economic data sets are observational, not experimental	大多数经济数据集是观察性的，而不是实验性的
This means that all variables must be treated as random and possibly jointly determined	这意味着必须将所有变量视为随机变量，并可能是联合确定的
This discussion means that it is difficult to infer causality from observational data alone	这种讨论意味着仅从观测数据很难推断出因果关系
We will discuss these issues on occasion throughout the text	我们将在整本书中不时地讨论这些问题
Standard Data Structures	标准数据结构
There are five major types of economic data sets: cross-sectional, time series, panel, clustered, and spatial	经济数据集有五种主要类型：横截面数据、时间序列数据、面板数据、群组数据和空间数据
They are distinguished by the dependence structure across observations	它们的区别在于观测之间的依赖结构
Cross-sectional data sets have one observation per individual	横截面数据集中每个个体都有一个观测结果
Most of this text is devoted to the study of cross-section data	本书的大部分内容都致力于研究横截面数据
Time series data are indexed by time	时间序列数据按时间标引
An exception is financial data where data are available at a high frequency (daily, hourly, or by transaction) so sample sizes can be quite large	一个例外是财务数据，其中数据的可用频率很高（每天、每小时或按交易），因此样本量可能非常大
Panel data combines elements of cross-section and time series	面板数据结合了横截面和时间序列的元素
An important issue in econometric panel data is the treatment of error components	计量经济学面板数据中的一个重要问题是误差成分的处理
Clustered samples are increasing popular in applied economics and are related to panel data	群组样本在应用经济学中越来越流行，并且与面板数据相关
The major difference with panel data is that clustered sampling typically does not explicitly model error component structures, nor the dependence within clusters, but rather is concerned with inference which is robust to arbitrary forms of within-cluster correlation	与面板数据的主要区别在于，群组抽样通常不会显式地对误差成分结构进行建模，也不会对群组内的依赖性进行建模，而是关注对任意形式的群组内相关性具有稳健性的推断
Spatial dependence is another model of interdependence	空间依赖是相互依赖的另一种模式
Spatial dependence can also be viewed as a generalization of time series dependence	空间依赖也可以看作是时间序列依赖的概括
Data Structures	数据结构
As we mentioned above, most of this text will be devoted to cross-sectional data under the assumption of mutually independent observations	正如我们上面提到的，本文的大部分内容将在相互独立的观测假设下专门讨论横截面数据
Furthermore, if the data is randomly gathered, it is reasonable to model each observation as a draw from the same probability distribution	此外，如果数据是随机收集的，则将每个观测值建模为来自相同概率分布的一次抽取是合理的
For most of this text we will assume that our observations come from a random sample	对于本文的大部分内容，我们将假设我们的观测来自随机样本
The assumption of random sampling provides the mathematical foundation for treating economic statistics with the tools of mathematical statistics	随机抽样的假设为用数理统计工具处理经济统计提供了数学基础
The random sampling framework was a major intellectual breakthrough of the late 19th century, allowing the application of mathematical statistics to the social sciences	随机抽样框架是 19 世纪后期的一项重大智力突破，数理统计得以应用于社会科学
The random sampling framework enabled economic samples to be treated as random, a necessary precondition for the application of statistical methods	随机抽样框架使经济样本能够被视为随机样本，这是应用统计方法的必要前提
Econometric Software	计量经济学软件
Economists use a variety of econometric, statistical, and programming software	经济学家使用各种计量、统计和编程软件
Stata is a powerful statistical program with a broad set of pre-programmed econometric and statistical tools	Stata 是一个强大的统计程序，具有广泛的预编程计量经济学和统计工具
MATLAB, GAUSS, and OxMetrics are high-level matrix programming languages with a wide variety of built-in statistical functions	MATLAB、GAUSS 和 OxMetrics 是具有多种内置统计函数的高级矩阵编程语言
Of these languages, GAUSS used to be quite popular among econometricians, but currently MATLAB is more popular	在这些语言中，GAUSS 曾经在计量经济学家中非常流行，但目前 MATLAB 更流行
An intermediate choice is R	一个居中的选择是 R
For highly-intensive computational tasks, some economists write their programs in a standard programming language such as Fortran or C	对于高度密集的计算任务，一些经济学家使用标准编程语言（如 Fortran 或 C）编写程序
This can lead to major gains in computational speed, at the cost of increased time in programming and debugging	这可能会大大提高计算速度，但会增加编程和调试的时间
There are many other packages which are used by econometricians, include Eviews, Gretl, PcGive, Python, Julia, RATS, and SAS	计量经济学家还使用了许多其他软件包，包括 Eviews、Gretl、PcGive、Python、Julia、RATS 和 SAS
As the packages described above have distinct advantages many empirical economists use multiple packages	由于上述软件包具有明显的优势，许多实证经济学家使用多个软件包
My advice is that all students of econometrics should develop a basic level of familiarity with Stata, MATLAB, and R	我的建议是所有计量经济学的学生都应该对 Stata、MATLAB 和 R 有一定的了解
Replication	复现
Scientific research needs to be documented and replicable	科学研究需要编档和可复现
This package should be posted on the author(s) website, and posted at the journal website when that is an option	该文件包应发布在作者网站上，并在可以选择的情况下发布在期刊网站上
A complicating factor is that many current economic data sets have restricted access and cannot be shared without permission	一个复杂的因素是，当前许多经济数据集的访问受到限制，未经许可不得分享
The computed code, however, can and should be posted	然而，计算出的代码可以而且应该发布
Most journals in economics require authors of published papers to make their datasets generally available	大多数经济学期刊都要求已发表论文的作者公开其数据集
Econometrica states:	计量经济学指出：
Econometrica has the policy that all empirical, experimental and simulation results must be replicable	Econometrica 的规定是所有实证、实验和模拟结果都必须是可复现的
Therefore, authors of accepted papers must submit data sets, programs, and information on empirical analysis, experiments and simulations that are needed for replication and some limited sensitivity analysis	因此，被接受论文的作者必须提交数据集、程序和有关复现所需的实证分析、实验和模拟的信息以及一些有限的敏感性分析
The American Economic Review states:	美国经济评论指出：
It is the policy of the American Economic Association to publish papers only if the data and code used in the analysis are clearly and precisely documented and access to the data and code is non-exclusive to the authors	美国经济学会的规定是，只有在分析中使用的数据和代码被清晰准确地记录并且对数据和代码的访问对作者来说是非专有的时才发表论文
Authors of accepted papers that contain empirical work, simulations, or experimental work must provide, prior to acceptance, information about the data, programs, and other details of the computations sufficient to permit replication, as well as information about access to data and programs	包含实证工作、模拟或实验工作的已接受论文的作者必须在接受之前提供有关数据、程序和足以允许复现的其他计算细节的信息，以及有关访问数据和程序的信息
The Journal of Political Economy states:	《政治经济学杂志》指出：
It is the policy of the Journal of Political Economy to publish papers only if the data used in the analysis are clearly and precisely documented and are readily available to any researcher for purposes of replication	《政治经济学杂志》的规定是，只有在分析中使用的数据得到清晰准确的记录并且任何研究人员都可以随时拷贝以供复现时，才发表论文
